kernel,batch,block,grid,median_total_ms,throughput_ops_s
sha3_512_n,2048,16,128,0.436096013,4696213.542119
sha3_512_n,2048,32,64,0.430207998,4760487.977009
sha3_512_n,2048,64,32,0.430848002,4753416.491271
sha3_512_n,2048,128,16,0.507232010,4037600.068908
sha3_512_n,2048,192,11,0.434047997,4718372.194240
sha3_512_n,2048,256,8,0.424160004,4828366.612406
sha3_512_n,2048,512,4,0.444447994,4607963.196095
gen_matrix_n,2048,16,128,14.349311829,142724.614564
gen_matrix_n,2048,32,64,8.744959831,234192.041990
gen_matrix_n,2048,64,32,9.384960175,218221.490758
gen_matrix_n,2048,128,16,10.239999771,200000.004470
gen_matrix_n,2048,192,11,8.636415482,237135.418551
gen_matrix_n,2048,256,8,10.036224365,204060.802695
poly_getnoise,2048,16,128,0.935936034,2188183.728590
poly_getnoise,2048,32,64,0.579584002,3533568.889383
poly_getnoise,2048,64,32,0.583679974,3508772.085647
poly_getnoise,2048,128,16,0.589824021,3472222.099407
poly_getnoise,2048,192,11,0.588800013,3478260.792383
poly_getnoise,2048,256,8,0.616447985,3322259.216125
polyvec_ntt_n,2048,16,128,17.561599731,116618.077585
polyvec_ntt_n,2048,32,64,17.015808105,120358.668087
polyvec_ntt_n,2048,64,32,18.827262878,108778.424842
polyvec_ntt_n,2048,128,16,16.790527344,121973.536511
polyvec_ntt_n,2048,192,11,16.715776443,122518.987193
polyvec_ntt_n,2048,256,8,16.596992493,123395.850236
polyvec_ntt_n,2048,512,4,18.312192917,111838.052892
polyvec_ntt_n,2048,1024,2,18.636800766,109890.105374
polyvec_pointwise_acc_n,2048,16,128,23.769088745,86162.327128
polyvec_pointwise_acc_n,2048,32,64,22.867969513,89557.579602
polyvec_pointwise_acc_n,2048,64,32,24.776702881,82658.294360
polyvec_pointwise_acc_n,2048,128,16,23.144447327,88487.747022
polyvec_pointwise_acc_n,2048,192,11,22.628353119,90505.923663
polyvec_pointwise_acc_n,2048,256,8,22.466560364,91157.701350
polyvec_pointwise_acc_n,2048,512,4,23.433216095,87397.307809
polyvec_pointwise_acc_n,2048,1024,2,31.064064026,65928.269987
poly_frommont_n,2048,16,128,0.345088005,5934718.013768
poly_frommont_n,2048,32,64,0.314368010,6514657.782193
poly_frommont_n,2048,64,32,0.313344002,6535947.675498
poly_frommont_n,2048,128,16,0.312319994,6557377.175726
poly_frommont_n,2048,192,11,0.314367980,6514658.399788
poly_frommont_n,2048,256,8,0.315391988,6493506.749585
poly_frommont_n,2048,512,4,0.328704000,6230529.604126
poly_frommont_n,2048,1024,2,0.344063997,5952380.999633
polyvec_add_n,2048,16,128,0.655359983,3125000.078944
polyvec_add_n,2048,32,64,0.559104025,3663003.496830
polyvec_add_n,2048,64,32,0.561151981,3649635.157768
polyvec_add_n,2048,128,16,0.566272020,3616636.398123
polyvec_add_n,2048,192,11,0.562175989,3642987.319848
polyvec_add_n,2048,256,8,0.564224005,3629764.034807
polyvec_add_n,2048,512,4,0.584703982,3502627.078796
polyvec_add_n,2048,1024,2,0.617471993,3316749.623171
polyvec_reduce_n,2048,16,128,0.652288020,3139717.330814
polyvec_reduce_n,2048,32,64,0.604160011,3389830.447795
polyvec_reduce_n,2048,64,32,0.604160011,3389830.447795
polyvec_reduce_n,2048,128,16,0.605184019,3384094.650578
polyvec_reduce_n,2048,192,11,0.607231975,3372681.422686
polyvec_reduce_n,2048,256,8,0.611328006,3350083.720361
polyvec_reduce_n,2048,512,4,0.629760027,3252032.381252
polyvec_reduce_n,2048,1024,2,0.661503971,3095975.369688
pack_sk_n,2048,16,128,1.120255947,1828153.651206
pack_sk_n,2048,32,64,1.102848053,1857010.124349
pack_sk_n,2048,64,32,1.181696057,1733102.168967
pack_sk_n,2048,128,16,1.278975964,1601281.070402
pack_sk_n,2048,192,11,1.175552011,1742160.263131
pack_sk_n,2048,256,8,1.265663981,1618123.001078
pack_sk_n,2048,512,4,2.212863922,925497.487455
pack_sk_n,2048,1024,2,4.122623920,496770.998161
pack_pk_n,2048,16,128,1.135615945,1803426.597932
pack_pk_n,2048,32,64,1.120255947,1828153.651206
pack_pk_n,2048,64,32,1.190912008,1719690.443754
pack_pk_n,2048,128,16,1.284096003,1594896.328536
pack_pk_n,2048,192,11,1.180672050,1734605.304520
pack_pk_n,2048,256,8,1.276927948,1603849.303487
pack_pk_n,2048,512,4,2.225152016,920386.555868
pack_pk_n,2048,1024,2,4.189184189,488878.002895
unpack_pk_n,2048,16,128,0.177151993,11560694.103841
unpack_pk_n,2048,32,64,0.195583999,10471204.233617
unpack_pk_n,2048,64,32,0.201728001,10152284.201710
unpack_pk_n,2048,128,16,0.250880003,8163265.209305
unpack_pk_n,2048,192,11,0.209920004,9756097.374600
unpack_pk_n,2048,256,8,0.249855995,8196721.469658
unpack_pk_n,2048,512,4,1.031167984,1986097.349569
unpack_pk_n,2048,1024,2,2.086911917,981354.308047
poly_frommsg_n,2048,16,128,0.039935999,51282053.055912
poly_frommsg_n,2048,32,64,0.044032000,46511627.901436
poly_frommsg_n,2048,64,32,0.043008000,47619047.997067
poly_frommsg_n,2048,128,16,0.043008000,47619047.997067
poly_frommsg_n,2048,192,11,0.043008000,47619047.997067
poly_frommsg_n,2048,256,8,0.044032000,46511627.901436
poly_frommsg_n,2048,512,4,0.045056000,45454545.099527
poly_frommsg_n,2048,1024,2,0.071680002,28571427.808314
polyvec_invntt_n,2048,16,128,3.947520018,518806.742171
polyvec_invntt_n,2048,32,64,3.371007919,607533.428880
polyvec_invntt_n,2048,64,32,3.584000111,571428.553790
polyvec_invntt_n,2048,128,16,3.379199982,606060.609345
polyvec_invntt_n,2048,192,11,3.352576017,610873.546009
polyvec_invntt_n,2048,256,8,3.451904058,593295.747888
polyvec_invntt_n,2048,512,4,3.345407963,612182.437172
polyvec_invntt_n,2048,1024,2,4.059135914,504540.878519
poly_invntt_n,2048,16,128,0.860159993,2380952.399853
poly_invntt_n,2048,32,64,0.828415990,2472187.916492
poly_invntt_n,2048,64,32,0.826367974,2478314.823104
poly_invntt_n,2048,128,16,0.825344026,2481389.499728
poly_invntt_n,2048,192,11,0.827391982,2475247.578367
poly_invntt_n,2048,256,8,0.827391982,2475247.578367
poly_invntt_n,2048,512,4,0.842751980,2430133.715519
poly_invntt_n,2048,1024,2,2.014208078,1016776.777920
poly_add_n,2048,16,128,0.184320003,11111110.942668
poly_add_n,2048,32,64,0.152575999,13422818.836077
poly_add_n,2048,64,32,0.152575999,13422818.836077
poly_add_n,2048,128,16,0.150528014,13605440.938038
poly_add_n,2048,192,11,0.153600007,13333332.700034
poly_add_n,2048,256,8,0.153600007,13333332.700034
poly_add_n,2048,512,4,0.160768002,12738853.323185
poly_add_n,2048,1024,2,0.172031999,11904761.999267
poly_reduce_n,2048,16,128,0.171007991,11976048.545889
poly_reduce_n,2048,32,64,0.155647993,13157895.321176
poly_reduce_n,2048,64,32,0.155647993,13157895.321176
poly_reduce_n,2048,128,16,0.154624000,13245033.096163
poly_reduce_n,2048,192,11,0.156672001,13071895.350996
poly_reduce_n,2048,256,8,0.156672001,13071895.350996
poly_reduce_n,2048,512,4,0.161791995,12658228.226167
poly_reduce_n,2048,1024,2,0.166911989,12269939.425819
pack_ciphertext_n,2048,16,128,1.225728035,1670843.728434
pack_ciphertext_n,2048,32,64,1.221632004,1676445.929426
pack_ciphertext_n,2048,64,32,1.271808028,1610305.922400
pack_ciphertext_n,2048,128,16,1.373183966,1491424.347488
pack_ciphertext_n,2048,192,11,1.260543942,1624695.443792
pack_ciphertext_n,2048,256,8,1.352704048,1514004.488115
pack_ciphertext_n,2048,512,4,2.296832085,891662.918540
pack_ciphertext_n,2048,1024,2,4.259840012,480769.229460
unpack_ciphertext_n,2048,16,128,0.232447997,8810572.810958
unpack_ciphertext_n,2048,32,64,0.251904011,8130080.953129
unpack_ciphertext_n,2048,64,32,0.260096014,7874015.337947
unpack_ciphertext_n,2048,128,16,0.312319994,6557377.175726
unpack_ciphertext_n,2048,192,11,0.268287987,7633588.169892
unpack_ciphertext_n,2048,256,8,0.314368010,6514657.782193
unpack_ciphertext_n,2048,512,4,1.156095982,1771479.213317
unpack_ciphertext_n,2048,1024,2,2.327552080,879894.382369
unpack_sk_n,2048,16,128,0.169983998,12048192.917022
unpack_sk_n,2048,32,64,0.188416004,10869564.976198
unpack_sk_n,2048,64,32,0.191487998,10695187.290310
unpack_sk_n,2048,128,16,0.231424004,8849557.375303
unpack_sk_n,2048,192,11,0.197632000,10362694.308369
unpack_sk_n,2048,256,8,0.232447997,8810572.810958
unpack_sk_n,2048,512,4,0.995328009,2057613.149853
unpack_sk_n,2048,1024,2,2.009088039,1019367.971855
poly_sub_n,2048,16,128,0.091136001,22471909.853339
poly_sub_n,2048,32,64,0.077823997,26315790.642352
poly_sub_n,2048,64,32,0.078847997,25974026.998339
poly_sub_n,2048,128,16,0.077823997,26315790.642352
poly_sub_n,2048,192,11,0.078847997,25974026.998339
poly_sub_n,2048,256,8,0.078847997,25974026.998339
poly_sub_n,2048,512,4,0.082943998,24691358.537550
poly_sub_n,2048,1024,2,0.089088000,22988505.654966
poly_tomsg_n,2048,16,128,0.128000006,15999999.240041
poly_tomsg_n,2048,32,64,0.124927998,16393442.939315
poly_tomsg_n,2048,64,32,0.125952005,16260161.906258
poly_tomsg_n,2048,128,16,0.129023999,15873015.999022
poly_tomsg_n,2048,192,11,0.125952005,16260161.906258
poly_tomsg_n,2048,256,8,0.130048007,15748030.675894
poly_tomsg_n,2048,512,4,0.177151993,11560694.103841
poly_tomsg_n,2048,1024,2,0.274432003,7462686.472040
