kernel,batch,block,grid,median_total_ms,throughput_ops_s
sha3_512_n,1,16,1,0.412351996,2425.112550
sha3_512_n,1,32,1,0.429024011,2330.871873
sha3_512_n,1,64,1,0.423808008,2359.558999
sha3_512_n,1,128,1,0.453536004,2204.896616
sha3_512_n,1,192,1,0.234175995,4270.292521
sha3_512_n,1,256,1,0.394623995,2534.057769
sha3_512_n,1,512,1,0.419263989,2385.132105
gen_matrix_n,1,16,1,4.684800148,213.456277
gen_matrix_n,1,32,1,4.749311924,210.556817
gen_matrix_n,1,64,1,4.461567879,224.136453
gen_matrix_n,1,128,1,4.738047600,211.057398
gen_matrix_n,1,192,1,4.721663952,211.789744
gen_matrix_n,1,256,1,4.392959595,227.636967
poly_getnoise,1,16,1,0.613375962,1630.321471
poly_getnoise,1,32,1,0.614399970,1627.604247
poly_getnoise,1,64,1,0.610303938,1638.527850
poly_getnoise,1,128,1,0.612351954,1633.047782
poly_getnoise,1,192,1,0.617471993,1619.506652
poly_getnoise,1,256,1,0.616447985,1622.196883
polyvec_ntt_n,1,16,1,14.911488533,67.062386
polyvec_ntt_n,1,32,1,16.139263153,61.960697
polyvec_ntt_n,1,64,1,15.062016487,66.392173
polyvec_ntt_n,1,128,1,16.045055389,62.324497
polyvec_ntt_n,1,192,1,16.122879028,62.023662
polyvec_ntt_n,1,256,1,16.375808716,61.065686
polyvec_ntt_n,1,512,1,14.649343491,68.262445
polyvec_ntt_n,1,1024,1,10.308608055,97.006307
polyvec_pointwise_acc_n,1,16,1,20.140031815,49.652355
polyvec_pointwise_acc_n,1,32,1,21.335039139,46.871252
polyvec_pointwise_acc_n,1,64,1,20.064256668,49.839873
polyvec_pointwise_acc_n,1,128,1,20.940801620,47.753664
polyvec_pointwise_acc_n,1,192,1,21.600255966,46.295748
polyvec_pointwise_acc_n,1,256,1,20.858880997,47.941210
polyvec_pointwise_acc_n,1,512,1,17.832960129,56.075940
polyvec_pointwise_acc_n,1,1024,1,12.727135658,78.572275
poly_frommont_n,1,16,1,0.290816009,3438.600245
poly_frommont_n,1,32,1,0.291840017,3426.534890
poly_frommont_n,1,64,1,0.289792001,3450.750869
poly_frommont_n,1,128,1,0.290816009,3438.600245
poly_frommont_n,1,192,1,0.289792001,3450.750869
poly_frommont_n,1,256,1,0.290816009,3438.600245
poly_frommont_n,1,512,1,0.290816009,3438.600245
poly_frommont_n,1,1024,1,0.289792001,3450.750869
polyvec_add_n,1,16,1,0.478208005,2091.140233
polyvec_add_n,1,32,1,0.478208005,2091.140233
polyvec_add_n,1,64,1,0.479232013,2086.671951
polyvec_add_n,1,128,1,0.478208005,2091.140233
polyvec_add_n,1,192,1,0.480256021,2082.222723
polyvec_add_n,1,256,1,0.478208005,2091.140233
polyvec_add_n,1,512,1,0.477183998,2095.627693
polyvec_add_n,1,1024,1,0.481279999,2077.792557
polyvec_reduce_n,1,16,1,0.566272020,1765.935741
polyvec_reduce_n,1,32,1,0.566272020,1765.935741
polyvec_reduce_n,1,64,1,0.565248013,1769.134925
polyvec_reduce_n,1,128,1,0.566272020,1765.935741
polyvec_reduce_n,1,192,1,0.566272020,1765.935741
polyvec_reduce_n,1,256,1,0.567296028,1762.748108
polyvec_reduce_n,1,512,1,0.565248013,1769.134925
polyvec_reduce_n,1,1024,1,0.480928004,2079.313311
pack_sk_n,1,16,1,0.356352001,2806.214069
pack_sk_n,1,32,1,0.355327994,2814.301203
pack_sk_n,1,64,1,0.355327994,2814.301203
pack_sk_n,1,128,1,0.356352001,2806.214069
pack_sk_n,1,192,1,0.356352001,2806.214069
pack_sk_n,1,256,1,0.355327994,2814.301203
pack_sk_n,1,512,1,0.355327994,2814.301203
pack_sk_n,1,1024,1,0.355327994,2814.301203
pack_pk_n,1,16,1,0.359423995,2782.229383
pack_pk_n,1,32,1,0.359423995,2782.229383
pack_pk_n,1,64,1,0.358399987,2790.178671
pack_pk_n,1,128,1,0.359423995,2782.229383
pack_pk_n,1,192,1,0.357376009,2798.173280
pack_pk_n,1,256,1,0.359423995,2782.229383
pack_pk_n,1,512,1,0.359423995,2782.229383
pack_pk_n,1,1024,1,0.359423995,2782.229383
unpack_pk_n,1,16,1,0.132095993,7570.252364
unpack_pk_n,1,32,1,0.133120000,7512.019210
unpack_pk_n,1,64,1,0.133120000,7512.019210
unpack_pk_n,1,128,1,0.132095993,7570.252364
unpack_pk_n,1,192,1,0.133120000,7512.019210
unpack_pk_n,1,256,1,0.132095993,7570.252364
unpack_pk_n,1,512,1,0.132095993,7570.252364
unpack_pk_n,1,1024,1,0.132095993,7570.252364
poly_frommsg_n,1,16,1,0.035840001,27901.784969
poly_frommsg_n,1,32,1,0.035840001,27901.784969
poly_frommsg_n,1,64,1,0.035840001,27901.784969
poly_frommsg_n,1,128,1,0.036864001,27126.735152
poly_frommsg_n,1,192,1,0.035840001,27901.784969
poly_frommsg_n,1,256,1,0.035840001,27901.784969
poly_frommsg_n,1,512,1,0.036864001,27126.735152
poly_frommsg_n,1,1024,1,0.035840001,27901.784969
polyvec_invntt_n,1,16,1,3.128319979,319.660395
polyvec_invntt_n,1,32,1,3.257344007,306.998585
polyvec_invntt_n,1,64,1,3.080192089,324.655077
polyvec_invntt_n,1,128,1,3.266560078,306.132438
polyvec_invntt_n,1,192,1,3.258368015,306.902104
polyvec_invntt_n,1,256,1,3.277823925,305.080451
polyvec_invntt_n,1,512,1,2.443264008,409.288557
polyvec_invntt_n,1,1024,1,2.100224018,476.139684
poly_invntt_n,1,16,1,0.818176031,1222.230867
