operation,batch,block,grid,median_total_ms,throughput_ops_s,warmups,samples,timing_scope
KeyGen,1,16,1,33.251294,30.07401757056432,3,7,full synchronous host API
Encaps,1,16,1,33.725551,29.651109332505786,3,7,full synchronous host API
Decaps,1,16,1,58.796567,17.007795710249546,3,7,full synchronous host API
KeyGen,1,32,1,32.268106,30.990353136933415,3,7,full synchronous host API
Encaps,1,32,1,34.510239,28.97690740420546,3,7,full synchronous host API
Decaps,1,32,1,59.496079,16.807830310968896,3,7,full synchronous host API
KeyGen,1,64,1,31.87343,31.37409434754904,3,7,full synchronous host API
Encaps,1,64,1,33.923094,29.478443210398204,3,7,full synchronous host API
Decaps,1,64,1,59.175247,16.89895776860889,3,7,full synchronous host API
KeyGen,1,128,1,32.863996,30.42843603072493,3,7,full synchronous host API
Encaps,1,128,1,34.376133,29.08995028614766,3,7,full synchronous host API
Decaps,1,128,1,59.224542,16.884892077341856,3,7,full synchronous host API
KeyGen,1,192,1,32.036665,31.214235314443624,3,7,full synchronous host API
Encaps,1,192,1,33.383005,29.95536201728994,3,7,full synchronous host API
Decaps,1,192,1,59.861089,16.70534259742585,3,7,full synchronous host API
KeyGen,1,256,1,32.287616,30.971627016376804,3,7,full synchronous host API
Encaps,1,256,1,34.348681,29.113199426784394,3,7,full synchronous host API
Decaps,1,256,1,59.625312,16.771400709819346,3,7,full synchronous host API
KeyGen,32,16,2,32.560331,982.7909918974718,3,7,full synchronous host API
Encaps,32,16,2,33.689921,949.8389740955463,3,7,full synchronous host API
Decaps,32,16,2,58.420164,547.7560795618444,3,7,full synchronous host API
KeyGen,32,32,1,32.601793,981.5411072636404,3,7,full synchronous host API
Encaps,32,32,1,33.979627,941.7407671955905,3,7,full synchronous host API
Decaps,32,32,1,59.244724,540.1324850462634,3,7,full synchronous host API
KeyGen,32,64,1,32.316055,990.2198767764197,3,7,full synchronous host API
Encaps,32,64,1,33.713131,949.1850519609111,3,7,full synchronous host API
Decaps,32,64,1,59.451304,538.2556453261311,3,7,full synchronous host API
KeyGen,32,128,1,32.631331,980.652612668481,3,7,full synchronous host API
Encaps,32,128,1,32.95575,970.9989910713608,3,7,full synchronous host API
Decaps,32,128,1,59.415691,538.5782688280104,3,7,full synchronous host API
KeyGen,32,192,1,33.396789,958.175949190804,3,7,full synchronous host API
Encaps,32,192,1,34.685805,922.5676036638042,3,7,full synchronous host API
Decaps,32,192,1,59.446348,538.3005193186973,3,7,full synchronous host API
KeyGen,32,256,1,32.671488,979.4472783119031,3,7,full synchronous host API
Encaps,32,256,1,34.450122,928.8791488169476,3,7,full synchronous host API
Decaps,32,256,1,59.153807,540.9626467490081,3,7,full synchronous host API
KeyGen,128,16,8,32.975785,3881.636176363959,3,7,full synchronous host API
Encaps,128,16,8,34.637929,3695.371048309499,3,7,full synchronous host API
Decaps,128,16,8,60.362992,2120.504563458352,3,7,full synchronous host API
KeyGen,128,32,4,33.153824,3860.7914429418456,3,7,full synchronous host API
Encaps,128,32,4,35.505673,3605.0577044406396,3,7,full synchronous host API
Decaps,128,32,4,60.891532,2102.0985315330877,3,7,full synchronous host API
KeyGen,128,64,2,32.815166,3900.635456179012,3,7,full synchronous host API
Encaps,128,64,2,35.810168,3574.403783863846,3,7,full synchronous host API
Decaps,128,64,2,60.146851,2128.124712630425,3,7,full synchronous host API
KeyGen,128,128,1,34.171387,3745.823954994861,3,7,full synchronous host API
Encaps,128,128,1,35.77708,3577.7095279994905,3,7,full synchronous host API
Decaps,128,128,1,60.78724,2105.7050788948472,3,7,full synchronous host API
KeyGen,128,192,1,32.593766,3927.13134161913,3,7,full synchronous host API
Encaps,128,192,1,35.061115,3650.7680945115408,3,7,full synchronous host API
Decaps,128,192,1,60.86487,2103.0193607576916,3,7,full synchronous host API
KeyGen,128,256,1,32.730614,3910.711849157489,3,7,full synchronous host API
Encaps,128,256,1,35.527343,3602.858789637041,3,7,full synchronous host API
Decaps,128,256,1,61.03664,2097.1010199775087,3,7,full synchronous host API
KeyGen,512,16,32,35.256316,14522.220642678607,3,7,full synchronous host API
Encaps,512,16,32,37.59878,13617.463119813994,3,7,full synchronous host API
Decaps,512,16,32,62.653335,8171.951261652712,3,7,full synchronous host API
KeyGen,512,32,16,35.892624,14264.769274043603,3,7,full synchronous host API
Encaps,512,32,16,37.642324,13601.710670148845,3,7,full synchronous host API
Decaps,512,32,16,62.818254,8150.497146896187,3,7,full synchronous host API
KeyGen,512,64,8,36.3265,14094.393899770139,3,7,full synchronous host API
Encaps,512,64,8,37.985486,13478.83241509665,3,7,full synchronous host API
Decaps,512,64,8,62.643536,8173.229557156544,3,7,full synchronous host API
KeyGen,512,128,4,35.414893,14457.19460454109,3,7,full synchronous host API
Encaps,512,128,4,38.899284,13162.19599311905,3,7,full synchronous host API
Decaps,512,128,4,63.887652,8014.068195838532,3,7,full synchronous host API
KeyGen,512,192,3,36.53754,14012.985001179608,3,7,full synchronous host API
Encaps,512,192,3,39.483394,12967.476909406523,3,7,full synchronous host API
Decaps,512,192,3,64.965236,7881.13815210338,3,7,full synchronous host API
KeyGen,512,256,2,37.273314,13736.369135301466,3,7,full synchronous host API
Encaps,512,256,2,40.18903,12739.794914184293,3,7,full synchronous host API
Decaps,512,256,2,64.913265,7887.447966143746,3,7,full synchronous host API
KeyGen,1024,16,64,38.961251,26282.52362841224,3,7,full synchronous host API
Encaps,1024,16,64,43.107622,23754.499842278474,3,7,full synchronous host API
Decaps,1024,16,64,68.077389,15041.704963155977,3,7,full synchronous host API
KeyGen,1024,32,32,38.352185,26699.912925430457,3,7,full synchronous host API
Encaps,1024,32,32,43.689381,23438.189705640372,3,7,full synchronous host API
Decaps,1024,32,32,67.502135,15169.890552350678,3,7,full synchronous host API
KeyGen,1024,64,16,39.117447,26177.577488633142,3,7,full synchronous host API
Encaps,1024,64,16,42.878633,23881.35834460954,3,7,full synchronous host API
Decaps,1024,64,16,67.596904,15148.622783078943,3,7,full synchronous host API
KeyGen,1024,128,8,39.189633,26129.359261925212,3,7,full synchronous host API
Encaps,1024,128,8,43.353866,23619.577548170677,3,7,full synchronous host API
Decaps,1024,128,8,66.781129,15333.67308001037,3,7,full synchronous host API
KeyGen,1024,192,6,38.992065,26261.75351318275,3,7,full synchronous host API
Encaps,1024,192,6,44.590276,22964.64816678865,3,7,full synchronous host API
Decaps,1024,192,6,69.64294,14703.572250108913,3,7,full synchronous host API
KeyGen,1024,256,4,40.189635,25479.206267984267,3,7,full synchronous host API
Encaps,1024,256,4,43.810411,23373.439705918303,3,7,full synchronous host API
