algorithm,operation,batch,streams,trials,total_ms,throughput_ops_s
kyber,CPA keypair+enc+dec,8,2,1,65.714172,121.73934109677285
kyber,CPA keypair+enc+dec,16,2,1,28.57984,559.8351845216768
kyber,CPA keypair+enc+dec,32,2,1,29.881344,1070.9022994414174
kyber,CPA keypair+enc+dec,64,2,1,27.280384,2346.008032731504
kyber,CPA keypair+enc+dec,128,2,1,27.311104,4686.738405009186
kyber,CPA keypair+enc+dec,256,2,1,27.699009,9242.207907149314
kyber,CPA keypair+enc+dec,512,2,1,29.024672,17640.164891441324
kyber,CPA keypair+enc+dec,1024,2,1,30.91568,33122.35085885221
kyber,CPA keypair+enc+dec,2048,2,1,32.553791,62911.25970551326
kyber,CPA keypair+enc+dec,4096,2,1,41.007874,99883.25656677544
kyber,CPA keypair+enc+dec,8192,2,1,63.263744,129489.64892118936
kyber,CPA keypair+enc+dec,16384,2,1,100.666687,162754.93401307624
kyber,CPA keypair+enc+dec,32768,2,1,191.756958,170882.9778161166
dilithium2,keypair stream,10000,10,10,22.2271,449901.24667635455
dilithium2,sign stream,10000,10,10,105.806,94512.59852938396
dilithium2,verify stream,10000,10,10,29.1971,342499.76881265605
dilithium2,keypair batch,10000,1,10,25.8107,387436.2183125603
dilithium2,sign_batch,10000,1,10,67.4286,148305.02190465172
dilithium2,verify batch,10000,1,10,26.779,373426.93901938084
dilithium3,keypair stream,10000,10,10,48.6804,205421.48380046178
dilithium3,sign stream,10000,10,10,151.611,65958.27479536446
dilithium3,verify stream,10000,10,10,48.6087,205724.48964897232
dilithium3,keypair batch,10000,1,10,52.9495,188859.19602640253
dilithium3,sign_batch,10000,1,10,104.677,95531.96977368476
dilithium3,verify batch,10000,1,10,43.1019,232008.3337393479
dilithium5,keypair stream,10000,10,10,65.951,151627.7236129854
dilithium5,sign stream,10000,10,10,182.566,54774.711611143364
dilithium5,verify stream,10000,10,10,80.708,123903.45442830946
dilithium5,keypair batch,10000,1,10,70.90480000000001,141034.17540138325
dilithium5,sign_batch,10000,1,10,137.043,72969.7978006903
dilithium5,verify batch,10000,1,10,72.9559,137069.1061312382
